Observation_id,Phase,Behaviour,Behavioural_category.x,Modifier,Count,Phase_Duration_s,Rate_per_Phase_Duration,Duration_in_Phase_s,Total_Duration_s
Bayou_FRF_19112022_1507,Silence_1,Voc,Reaction,Contact,1,83,0.012048192771084338,NA,NA
Bayou_FRF_19112022_1507,Habituation,Agn,Interaction,Towards other,3,252,0.011904761904761904,NA,NA
Bayou_FRF_19112022_1507,Habituation,FVO,Reaction,Other,7,252,0.027777777777777776,NA,NA
Bayou_FRF_19112022_1507,Habituation,HSH,Reaction,NA,3,252,0.011904761904761904,NA,NA
Bayou_FRF_19112022_1507,Habituation,Htlt,Reaction,NA,8,252,0.031746031746031744,NA,NA
Bayou_FRF_19112022_1507,Habituation,Look,Reaction,At speaker,36,252,0.14285714285714285,NA,NA
Bayou_FRF_19112022_1507,Habituation,Look,Reaction,Away from speaker,27,252,0.10714285714285714,NA,NA
Bayou_FRF_19112022_1507,Silence_2,Agn,Interaction,Towards other,1,57,0.017543859649122806,NA,NA
Bayou_FRF_19112022_1507,Silence_2,FVO,Reaction,Distance,3,57,0.05263157894736842,NA,NA
Bayou_FRF_19112022_1507,Silence_2,FVO,Reaction,Other,1,57,0.017543859649122806,NA,NA
Bayou_FRF_19112022_1507,Silence_2,Look,Reaction,At speaker,7,57,0.12280701754385964,NA,NA
Bayou_FRF_19112022_1507,Silence_2,Look,Reaction,Away from speaker,2,57,0.03508771929824561,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,FVO,Reaction,Distance,1,246,0.0040650406504065045,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,FVO,Reaction,Other,3,246,0.012195121951219513,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,HSH,Reaction,NA,1,246,0.0040650406504065045,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,Htlt,Reaction,NA,1,246,0.0040650406504065045,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,Look,Reaction,At speaker,23,246,0.09349593495934959,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,Look,Reaction,Away from speaker,9,246,0.036585365853658534,NA,NA
Bayou_FRF_19112022_1507,Dishabituation,Voc,Reaction,Contact,3,246,0.012195121951219513,NA,NA
Bayou_FRF_19112022_1507,Silence_3,Look,Reaction,At speaker,7,66,0.10606060606060606,NA,NA
Bayou_FRF_19112022_1507,Silence_3,Look,Reaction,Away from speaker,2,66,0.030303030303030304,NA,NA
Bayou_FRP_17112022_1000,Silence_1,Look,Reaction,At speaker,2,86,0.023255813953488372,NA,NA
Bayou_FRP_17112022_1000,Habituation,FVO,Reaction,Distance,11,251,0.043824701195219126,NA,NA
Bayou_FRP_17112022_1000,Habituation,FVO,Reaction,Other,21,251,0.08366533864541832,NA,NA
Bayou_FRP_17112022_1000,Habituation,Look,Reaction,At speaker,1,251,0.00398406374501992,NA,NA
Bayou_FRP_17112022_1000,Habituation,Look,Reaction,Away from speaker,2,251,0.00796812749003984,NA,NA
Bayou_FRP_17112022_1000,Habituation,Voc,Reaction,Distance,1,251,0.00398406374501992,NA,NA
Bayou_FRP_17112022_1000,Habituation,Voc,Reaction,Other,1,251,0.00398406374501992,NA,NA
Bayou_FRP_17112022_1000,Silence_2,FVO,Reaction,Distance,4,49,0.08163265306122448,NA,NA
Bayou_FRP_17112022_1000,Dishabituation,FVO,Reaction,Distance,11,246,0.044715447154471545,NA,NA
Bayou_FRP_17112022_1000,Dishabituation,FVO,Reaction,Other,15,246,0.06097560975609756,NA,NA
Bayou_FRP_17112022_1000,Dishabituation,Htlt,Reaction,NA,2,246,0.008130081300813009,NA,NA
Bayou_FRP_17112022_1000,Dishabituation,Look,Reaction,At speaker,6,246,0.024390243902439025,NA,NA
Bayou_FRP_17112022_1000,Dishabituation,Look,Reaction,Away from speaker,49,246,0.1991869918699187,NA,NA
Bayou_FRP_17112022_1000,Dishabituation,Voc,Reaction,Contact,16,246,0.06504065040650407,NA,NA
Bayou_FRP_17112022_1000,Silence_3,FVO,Reaction,Distance,2,68,0.029411764705882353,NA,NA
