Observation_id,Behaviour,Modifier,Phase,Percentage
Anthony_FC_12102022_0942,Eat,With kin,Silence_1,4.964539007092199
Anthony_FC_12102022_0942,Eat,With kin,Silence_1,4.25531914893617
Anthony_FC_12102022_0942,Eat,With kin,Silence_1,7.092198581560284
Anthony_FC_12102022_0942,Eat,With kin,Habituation,14.173228346456693
Anthony_FC_12102022_0942,Eat,With kin,Habituation,3.543307086614173
Anthony_FC_12102022_0942,Eat,With kin,Habituation,24.803149606299215
Anthony_FC_12102022_0942,Eat,With kin,Habituation,3.149606299212598
Anthony_FC_12102022_0942,Eat,With kin,Dishabituation,47.540983606557376
Anthony_FC_12102022_0942,Eat,With kin,Habituation,24.015748031496063
Anthony_FC_12102022_0942,Eat,With kin,Silence_2,100
Anthony_FC_12102022_0942,Eat,With kin,Dishabituation,8.60655737704918
Anthony_FC_12102022_0942,Eat,With kin,Dishabituation,22.950819672131146
Anthony_FC_12102022_0942,Eat,With kin,Dishabituation,1.639344262295082
Anthony_FC_12102022_0942,Eat,With kin,Dishabituation,0.4098360655737705
Anthony_FC_12102022_0942,Eat,With kin,Silence_3,6.329113924050633
Anthony_FC_12102022_0942,Mov,Away from speaker,Silence_1,7.092198581560284
Anthony_FC_12102022_0942,Mov,Away from speaker,Silence_1,4.964539007092199
Anthony_FC_12102022_0942,Mov,Away from speaker,Silence_1,2.127659574468085
Anthony_FC_12102022_0942,Mov,Away from speaker,Habituation,0.7874015748031495
Anthony_FC_12102022_0942,Mov,Away from speaker,Dishabituation,2.0491803278688523
Anthony_FC_12102022_0942,Mov,Towards speaker,Silence_1,14.184397163120568
Anthony_FC_12102022_0942,Mov,Towards speaker,Habituation,2.7559055118110236
Anthony_FC_12102022_0942,Mov,Towards speaker,Habituation,23.62204724409449
Anthony_FC_12102022_0942,Mov,Towards speaker,Dishabituation,0.819672131147541
Anthony_FC_12102022_0942,Pre,With kin,Silence_1,17.73049645390071
Anthony_FC_12102022_0942,Pre,With kin,Silence_1,4.25531914893617
Anthony_FC_12102022_0942,Pre,With kin,Silence_3,6.329113924050633
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,6.382978723404255
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,4.25531914893617
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,42.5531914893617
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,4.964539007092199
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,2.8368794326241136
Anthony_FC_12102022_0942,Vig,Long neck,Habituation,0.39370078740157477
Anthony_FC_12102022_0942,Vig,Long neck,Silence_1,0
Anthony_FC_12102022_0942,Vig,Mid neck,Habituation,3.149606299212598
Anthony_FC_12102022_0942,Vig,Mid neck,Habituation,0.7874015748031495
Anthony_FC_12102022_0942,Vig,Mid neck,Habituation,23.62204724409449
Anthony_FC_12102022_0942,Vig,Mid neck,Habituation,1.574803149606299
Anthony_FC_12102022_0942,Vig,Mid neck,Dishabituation,0.819672131147541
Anthony_FC_12102022_0942,Vig,Mid neck,Dishabituation,1.639344262295082
Anthony_FC_12102022_0942,Vig,Mid neck,Dishabituation,1.2295081967213115
Anthony_FC_12102022_0942,Vig,Mid neck,Dishabituation,2.0491803278688523
Anthony_FC_12102022_0942,Vig,Mid neck,Silence_3,87.34177215189874
Anthony_FRF_21112022_0930,Ass,Kin,Dishabituation,100
Anthony_FRF_21112022_0930,Ass,Kin,Habituation,100
Anthony_FRF_21112022_0930,Ass,Kin,Silence_1,100
Anthony_FRF_21112022_0930,Ass,Kin,Silence_2,100
Anthony_FRF_21112022_0930,Ass,Kin,Silence_3,100
Anthony_FRF_21112022_0930,Pre,With kin,Dishabituation,3.6585365853658534
Anthony_FRF_21112022_0930,Pre,With kin,Dishabituation,8.536585365853659
Anthony_FRF_21112022_0930,Pre,With kin,Dishabituation,2.0325203252032518
Anthony_FRF_21112022_0930,Pre,With kin,Dishabituation,1.2195121951219512
Anthony_FRF_21112022_0930,Pre,With kin,Dishabituation,0.8130081300813009
Anthony_FRF_21112022_0930,Rst,With kin,Silence_1,21.176470588235293
Anthony_FRF_21112022_0930,Rst,With kin,Habituation,100
Anthony_FRF_21112022_0930,Rst,With kin,Silence_1,45.88235294117647
Anthony_FRF_21112022_0930,Rst,With kin,Silence_2,93.02325581395348
Anthony_FRF_21112022_0930,Rst,With kin,Dishabituation,30.081300813008134
Anthony_FRF_21112022_0930,Rst,With kin,Dishabituation,7.723577235772358
Anthony_FRF_21112022_0930,Rst,With kin,Silence_3,100
Anthony_FRF_21112022_0930,Vig,Mid neck,Silence_1,27.058823529411764
Anthony_FRF_21112022_0930,Vig,Mid neck,Dishabituation,14.227642276422763
Anthony_FRF_21112022_0930,Vig,Mid neck,Dishabituation,0.8130081300813009
Anthony_FRF_21112022_0930,Vig,Mid neck,Dishabituation,3.2520325203252036
Anthony_FRF_21112022_0930,Vig,Mid neck,Dishabituation,1.6260162601626018
Anthony_FRF_21112022_0930,Vig,Mid neck,Dishabituation,17.479674796747968
Anthony_FRF_21112022_0930,Vig,Short Neck,Silence_1,5.88235294117647
Anthony_FRF_21112022_0930,Vig,Short Neck,Dishabituation,4.0650406504065035
Anthony_FRF_21112022_0930,Vig,Short Neck,Silence_2,6.976744186046512
Anthony_FRF_21112022_0930,Vig,Short Neck,Dishabituation,4.0650406504065035
Anthony_FRF_25102022_0953,Ass,Kin,Dishabituation,100
Anthony_FRF_25102022_0953,Ass,Kin,Habituation,100
Anthony_FRF_25102022_0953,Ass,Kin,Silence_1,100
Anthony_FRF_25102022_0953,Ass,Kin,Silence_2,100
Anthony_FRF_25102022_0953,Ass,Kin,Silence_3,100
Anthony_FRF_25102022_0953,Mov,Away from speaker,Dishabituation,0.3663003663003663
