Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count,Phase_Duration_s,Rate
Anthony_FC_12102022_0942,Silence_1,Voc,Reaction,Contact,2,141,0.014184397163120567
Anthony_FC_12102022_0942,Silence_2,HSH,Reaction,None,1,441,0.0022675736961451248
Anthony_FC_12102022_0942,Silence_2,Look,Reaction,Away from speaker,3,441,0.006802721088435374
Anthony_FC_12102022_0942,Silence_3,HSH,Reaction,None,4,764,0.005235602094240838
Anthony_FC_12102022_0942,Silence_3,Htlt,Reaction,None,2,764,0.002617801047120419
Anthony_FC_12102022_0942,Silence_3,Look,Reaction,At speaker,14,764,0.01832460732984293
Anthony_FC_12102022_0942,Silence_3,Look,Reaction,Away from speaker,10,764,0.013089005235602094
Anthony_FRF_21112022_0930,Dishabituation,FVO,Reaction,Distance,23,688,0.03343023255813953
Anthony_FRF_21112022_0930,Dishabituation,FVO,Reaction,Other,1,688,0.0014534883720930232
Anthony_FRF_21112022_0930,Dishabituation,FVO,Reaction,Recruitment,1,688,0.0014534883720930232
Anthony_FRF_21112022_0930,Dishabituation,HSH,Reaction,None,5,688,0.007267441860465116
Anthony_FRF_21112022_0930,Dishabituation,Htlt,Reaction,None,8,688,0.011627906976744186
Anthony_FRF_21112022_0930,Dishabituation,Look,Reaction,At speaker,4,688,0.005813953488372093
Anthony_FRF_21112022_0930,Dishabituation,Look,Reaction,Away from speaker,41,688,0.059593023255813955
Anthony_FRF_21112022_0930,Habituation,FVO,Reaction,Distance,18,383,0.04699738903394256
Anthony_FRF_21112022_0930,Habituation,Htlt,Reaction,None,8,383,0.020887728459530026
Anthony_FRF_21112022_0930,Habituation,Look,Reaction,At speaker,3,383,0.007832898172323759
Anthony_FRF_21112022_0930,Habituation,Look,Reaction,Away from speaker,5,383,0.013054830287206266
Anthony_FRF_21112022_0930,Silence_1,FVO,Reaction,Distance,3,83,0.03614457831325301
Anthony_FRF_21112022_0930,Silence_1,Htlt,Reaction,None,1,83,0.012048192771084338
Anthony_FRF_21112022_0930,Silence_1,Look,Reaction,At speaker,1,83,0.012048192771084338
Anthony_FRF_21112022_0930,Silence_1,Look,Reaction,Away from speaker,11,83,0.13253012048192772
Anthony_FRF_21112022_0930,Silence_2,FVO,Reaction,Distance,5,452,0.011061946902654867
Anthony_FRF_21112022_0930,Silence_2,HSH,Reaction,None,1,452,0.0022123893805309734
Anthony_FRF_21112022_0930,Silence_2,Look,Reaction,Away from speaker,1,452,0.0022123893805309734
Anthony_FRF_21112022_0930,Silence_3,FVO,Reaction,Distance,5,767,0.00651890482398957
Anthony_FRF_25102022_0953,Dishabituation,FVO,Reaction,Distance,12,764,0.015706806282722512
Anthony_FRF_25102022_0953,Dishabituation,FVO,Reaction,Other,15,764,0.01963350785340314
Anthony_FRF_25102022_0953,Dishabituation,Htlt,Reaction,None,7,764,0.009162303664921465
Anthony_FRF_25102022_0953,Dishabituation,Look,Reaction,At speaker,34,764,0.04450261780104712
Anthony_FRF_25102022_0953,Dishabituation,Look,Reaction,Away from speaker,43,764,0.056282722513089
Anthony_FRF_25102022_0953,Habituation,FVO,Reaction,Distance,6,416,0.014423076923076924
Anthony_FRF_25102022_0953,Habituation,FVO,Reaction,Other,21,416,0.05048076923076923
Anthony_FRF_25102022_0953,Habituation,Htlt,Reaction,None,2,416,0.004807692307692308
Anthony_FRF_25102022_0953,Habituation,Look,Reaction,At speaker,22,416,0.052884615384615384
Anthony_FRF_25102022_0953,Silence_1,FVO,Reaction,Other,2,69,0.028985507246376812
Anthony_FRF_25102022_0953,Silence_1,Look,Reaction,At speaker,4,69,0.057971014492753624
Anthony_FRF_25102022_0953,Silence_2,Agn,Interaction,Towards other,1,489,0.002044989775051125
Anthony_FRF_25102022_0953,Silence_2,FVO,Reaction,Distance,1,489,0.002044989775051125
Anthony_FRF_25102022_0953,Silence_2,FVO,Reaction,Other,1,489,0.002044989775051125
Anthony_FRF_25102022_0953,Silence_2,Htlt,Reaction,None,1,489,0.002044989775051125
Anthony_FRF_25102022_0953,Silence_2,Look,Reaction,At speaker,7,489,0.014314928425357873
Anthony_FRF_25102022_0953,Silence_2,Look,Reaction,Away from speaker,5,489,0.010224948875255624
Anthony_FRF_25102022_0953,Silence_3,Look,Reaction,At speaker,2,834,0.002398081534772182
Anthony_FRF_25102022_0953,Silence_3,Look,Reaction,Away from speaker,1,834,0.001199040767386091
Anthony_FRP_06112022_0945,Dishabituation,Agn,Interaction,Towards other,2,643,0.003110419906687403
Anthony_FRP_06112022_0945,Dishabituation,Htlt,Reaction,None,2,643,0.003110419906687403
Anthony_FRP_06112022_0945,Dishabituation,Look,Reaction,At speaker,6,643,0.00933125972006221
Anthony_FRP_06112022_0945,Dishabituation,Look,Reaction,Away from speaker,14,643,0.02177293934681182
Anthony_FRP_06112022_0945,Dishabituation,Voc,Reaction,Other,1,643,0.0015552099533437014
Anthony_FRP_06112022_0945,Habituation,HSH,Reaction,None,1,339,0.0029498525073746312
Anthony_FRP_06112022_0945,Habituation,Look,Reaction,At speaker,1,339,0.0029498525073746312
Anthony_FRP_06112022_0945,Habituation,Look,Reaction,Away from speaker,1,339,0.0029498525073746312
Anthony_FRP_06112022_0945,Silence_1,HSH,Reaction,None,1,94,0.010638297872340425
Anthony_FRP_06112022_0945,Silence_1,Look,Reaction,At speaker,3,94,0.031914893617021274
Anthony_FRP_06112022_0945,Silence_1,Look,Reaction,Away from speaker,1,94,0.010638297872340425
Anthony_FRP_06112022_0945,Silence_1,Voc,Reaction,Other,1,94,0.010638297872340425
Anthony_FRP_06112022_0945,Silence_2,NA,NA,NA,0,394,0
Anthony_FRP_06112022_0945,Silence_3,NA,NA,NA,0,713,0
Anthony_PRF_27102022_1108,Dishabituation,Agn,Interaction,Towards other,1,650,0.0015384615384615385
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Departure,34,650,0.052307692307692305
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Distance,2,650,0.003076923076923077
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Other,2,650,0.003076923076923077
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Recruitment,8,650,0.012307692307692308
Anthony_PRF_27102022_1108,Dishabituation,Fllw,Interaction,Kin,1,650,0.0015384615384615385
Anthony_PRF_27102022_1108,Dishabituation,HSH,Reaction,None,2,650,0.003076923076923077
Anthony_PRF_27102022_1108,Dishabituation,Look,Reaction,At speaker,1,650,0.0015384615384615385
Anthony_PRF_27102022_1108,Dishabituation,Look,Reaction,Away from speaker,21,650,0.03230769230769231
Anthony_PRF_27102022_1108,Dishabituation,Voc,Reaction,Contact,1,650,0.0015384615384615385
Anthony_PRF_27102022_1108,Dishabituation,Voc,Reaction,Recruitment,5,650,0.007692307692307693
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Departure,18,347,0.05187319884726225
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Distance,11,347,0.03170028818443804
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Other,5,347,0.01440922190201729
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Recruitment,32,347,0.09221902017291066
Anthony_PRF_27102022_1108,Habituation,Look,Reaction,At speaker,7,347,0.020172910662824207
Anthony_PRF_27102022_1108,Habituation,Look,Reaction,Away from speaker,4,347,0.011527377521613832
Anthony_PRF_27102022_1108,Habituation,Voc,Reaction,Recruitment,17,347,0.04899135446685879
Anthony_PRF_27102022_1108,Silence_1,FVO,Reaction,Distance,3,65,0.046153846153846156
Anthony_PRF_27102022_1108,Silence_1,FVO,Reaction,Other,2,65,0.03076923076923077
Anthony_PRF_27102022_1108,Silence_1,Look,Reaction,Away from speaker,2,65,0.03076923076923077
Anthony_PRF_27102022_1108,Silence_2,FVO,Reaction,Departure,8,406,0.019704433497536946
Anthony_PRF_27102022_1108,Silence_2,FVO,Reaction,Distance,4,406,0.009852216748768473
Anthony_PRF_27102022_1108,Silence_2,Fllw,Interaction,Kin,3,406,0.007389162561576354
Anthony_PRF_27102022_1108,Silence_2,HSH,Reaction,None,1,406,0.0024630541871921183
Anthony_PRF_27102022_1108,Silence_2,Look,Reaction,At speaker,4,406,0.009852216748768473
Anthony_PRF_27102022_1108,Silence_2,Look,Reaction,Away from speaker,10,406,0.024630541871921183
Anthony_PRF_27102022_1108,Silence_2,Voc,Reaction,Recruitment,4,406,0.009852216748768473
Anthony_PRF_27102022_1108,Silence_3,FVO,Reaction,Distance,3,733,0.004092769440654843
Anthony_PRF_27102022_1108,Silence_3,Look,Reaction,Away from speaker,1,733,0.001364256480218281
Anthony_PRF_27102022_1108,Silence_3,Voc,Reaction,Contact,1,733,0.001364256480218281
Ballantine_FC_07112022_0855,Dishabituation,FVO,Reaction,Distance,8,648,0.012345679012345678
Ballantine_FC_07112022_0855,Dishabituation,FVO,Reaction,Other,2,648,0.0030864197530864196
Ballantine_FC_07112022_0855,Dishabituation,HSH,Reaction,None,1,648,0.0015432098765432098
Ballantine_FC_07112022_0855,Dishabituation,Look,Reaction,At speaker,5,648,0.007716049382716049
Ballantine_FC_07112022_0855,Dishabituation,Look,Reaction,Away from speaker,5,648,0.007716049382716049
Ballantine_FC_07112022_0855,Dishabituation,Voc,Reaction,Distance,2,648,0.0030864197530864196
Ballantine_FC_07112022_0855,Habituation,FVO,Reaction,Distance,14,347,0.040345821325648415
Ballantine_FC_07112022_0855,Habituation,HSH,Reaction,None,1,347,0.002881844380403458
Ballantine_FC_07112022_0855,Habituation,Look,Reaction,At speaker,7,347,0.020172910662824207
Ballantine_FC_07112022_0855,Habituation,Voc,Reaction,Distance,1,347,0.002881844380403458
Ballantine_FC_07112022_0855,Silence_1,FVO,Reaction,Distance,5,103,0.04854368932038835
Ballantine_FC_07112022_0855,Silence_1,FVO,Reaction,Other,2,103,0.019417475728155338
Ballantine_FC_07112022_0855,Silence_2,FVO,Reaction,Distance,1,403,0.0024813895781637717
Ballantine_FC_07112022_0855,Silence_3,FVO,Reaction,Distance,2,710,0.0028169014084507044
Ballantine_FC_07112022_0855,Silence_3,FVO,Reaction,Other,1,710,0.0014084507042253522
Ballantine_FC_09102022_0930,Dishabituation,Agn,Interaction,Towards other,1,713,0.001402524544179523
Ballantine_FC_09102022_0930,Dishabituation,FVO,Reaction,Distance,23,713,0.03225806451612903
Ballantine_FC_09102022_0930,Dishabituation,FVO,Reaction,Other,15,713,0.021037868162692847
Ballantine_FC_09102022_0930,Dishabituation,HSH,Reaction,None,7,713,0.009817671809256662
Ballantine_FC_09102022_0930,Dishabituation,Htlt,Reaction,None,2,713,0.002805049088359046
Ballantine_FC_09102022_0930,Dishabituation,Look,Reaction,At speaker,43,713,0.06030855539971949
Ballantine_FC_09102022_0930,Dishabituation,Look,Reaction,Away from speaker,10,713,0.014025245441795231
Ballantine_FC_09102022_0930,Dishabituation,Voc,Reaction,Contact,1,713,0.001402524544179523
Ballantine_FC_09102022_0930,Dishabituation,Voc,Reaction,Distance,1,713,0.001402524544179523
Ballantine_FC_09102022_0930,Habituation,FVO,Reaction,Distance,4,353,0.0113314447592068
Ballantine_FC_09102022_0930,Habituation,HSH,Reaction,None,9,353,0.025495750708215296
Ballantine_FC_09102022_0930,Habituation,Htlt,Reaction,None,2,353,0.0056657223796034
Ballantine_FC_09102022_0930,Habituation,Look,Reaction,At speaker,19,353,0.053824362606232294
Ballantine_FC_09102022_0930,Habituation,Look,Reaction,Away from speaker,2,353,0.0056657223796034
Ballantine_FC_09102022_0930,Silence_1,HSH,Reaction,None,2,105,0.01904761904761905
Ballantine_FC_09102022_0930,Silence_1,Htlt,Reaction,None,1,105,0.009523809523809525
Ballantine_FC_09102022_0930,Silence_1,Look,Reaction,Away from speaker,1,105,0.009523809523809525
Ballantine_FC_09102022_0930,Silence_2,FVO,Reaction,Distance,2,409,0.004889975550122249
Ballantine_FC_09102022_0930,Silence_2,Look,Reaction,At speaker,4,409,0.009779951100244499
Ballantine_FC_09102022_0930,Silence_3,NA,NA,NA,0,791,0
Ballantine_FRF_22112022_1026,Dishabituation,FVO,Reaction,Distance,3,645,0.004651162790697674
Ballantine_FRF_22112022_1026,Dishabituation,FVO,Reaction,Other,1,645,0.0015503875968992248
Ballantine_FRF_22112022_1026,Dishabituation,Look,Reaction,At speaker,3,645,0.004651162790697674
Ballantine_FRF_22112022_1026,Dishabituation,Look,Reaction,Away from speaker,10,645,0.015503875968992248
Ballantine_FRF_22112022_1026,Habituation,Agn,Interaction,Towards other,1,346,0.002890173410404624
Ballantine_FRF_22112022_1026,Habituation,Fllw,Interaction,Kin,1,346,0.002890173410404624
Ballantine_FRF_22112022_1026,Habituation,HSH,Reaction,None,1,346,0.002890173410404624
Ballantine_FRF_22112022_1026,Habituation,Htlt,Reaction,None,1,346,0.002890173410404624
Ballantine_FRF_22112022_1026,Habituation,Look,Reaction,At speaker,25,346,0.07225433526011561
Ballantine_FRF_22112022_1026,Habituation,Look,Reaction,Away from speaker,22,346,0.06358381502890173
Ballantine_FRF_22112022_1026,Habituation,Voc,Reaction,Contact,6,346,0.017341040462427744
Ballantine_FRF_22112022_1026,Silence_1,FVO,Reaction,Other,3,97,0.030927835051546393
Ballantine_FRF_22112022_1026,Silence_1,Look,Reaction,At speaker,3,97,0.030927835051546393
Ballantine_FRF_22112022_1026,Silence_1,Look,Reaction,Away from speaker,10,97,0.10309278350515463
