"Original_code","Blind_code"
"Taras_FC_08112022_1000.tsv","DK11.tsv"
"Triton_FC_07112022_0928.tsv","UU71.tsv"
"Allegra_FRF_20112022_0943.tsv","JH79.tsv"
"Anthony_FRF_21112022_0930.tsv","IR18.tsv"
"Ballantine_FRF_22112022_1026.tsv","PX42.tsv"
"Bayou_FRF_19112022_1507.tsv","VE30.tsv"
"Bernard_FRF_17112022_0922.tsv","XX97.tsv"
"Bruce Springsteen_FRF_21112022_0913.tsv","CY11.tsv"
"Diamante_FRF_19112022_0917.tsv","AU60.tsv"
"Dorothea_FRF_19112022_0904.tsv","AN32.tsv"
"Eastwood_FRF_20112022_1008.tsv","BB95.tsv"
"Hera_FRF_23112022_1126.tsv","UO91.tsv"
"Idgie_FRF_20112022_0916.tsv","BY58.tsv"
"Janosch_FRF_23112022_0948.tsv","KX41.tsv"
"JB_FRF_22112022_1040.tsv","DO20.tsv"
"Jessica_FRF_17112022_1027.tsv","WO88.tsv"
"Joe_FRF_22112022_1013.tsv","JS38.tsv"
"Jumper_FRF_23112022_1058.tsv","GM92.tsv"
"Jurek_FRF_21112022_0946.tsv","NV45.tsv"
"Karolina_FRF_24112022_1114.tsv","CY33.tsv"
"Kendo_FRF_17112022_0934.tsv","MR42.tsv"
"L'amour_FRF_20112022_0955.tsv","PL63.tsv"
"Lando_FRF_24112022_1041.tsv","NH43.tsv"
"Lausbursch_FRF_20112022_0903.tsv","LN46.tsv"
"Leia_FRF_24112022_1144.tsv","JT62.tsv"
"Lindy Hop_ FRF_22112022_0959.tsv","QW34.tsv"
"Longshanks_FRF_23112022_1004.tsv","LN50.tsv"
"Lotta_FRF_21112022_1005.tsv","DZ53.tsv"
"Lukka_FRF_24112022_1129.tsv","GA97.tsv"
"Lupin_FRF_24112022_1056.tsv","QS99.tsv"
"Oberlix_FRF_23112022_1024.tsv","ZE69.tsv"
"Romy_FRF_19112022_1455.tsv","EW88.tsv"
"Rosenrot_FRF_20112022_0930.tsv","FL96.tsv"
"Triton_FRF_23112022_1039.tsv","VP98.tsv"
"Allegra_PRF_08102022_0856.tsv","JH15.tsv"
"Anthony_FRP_06112022_0945.tsv","BB69.tsv"
"Ballantine_PRF_17112022_0947.tsv","XP94.tsv"
"Bayou_FRP_17112022_1000.tsv","UR42.tsv"
"Bernard_FRP_13112022_0905.tsv","ZR55.tsv"
"Bruce Springsteen_PRF_09112022_0915.tsv","RN12.tsv"
"Diamante_FRP_13112022_0831.tsv","ZV73.tsv"
"Dorothea_FRP_02112022_0859.tsv","TJ50.tsv"
"Eastwood_PRF_12112022_0945.tsv","DS86.tsv"
"Hera_FRP_09112022_0950.tsv","HK77.tsv"
"Idgie_FRP_08112022_0934.tsv","DM46.tsv"
"Janosch_PRF_03112022_0929.tsv","VH25.tsv"
"JB_PRF_13112022_1044.tsv","EM45.tsv"
"Jessica_FRP_03112022_1015.tsv","RS84.tsv"
"Joe_FRP_09112022_0908.tsv","TV69.tsv"
"Jumper_FRP_15112022_1049.tsv","GZ48.tsv"
"Jurek_FRP2-06112022_0833.tsv","TB26.tsv"
"Karolina_PRF_13112022_1059.tsv","CH52.tsv"
"Kendo_PRF_09112022_0932.tsv","OJ50.tsv"
"L'amour_PRF_11112022_0915.tsv","ML56.tsv"
"Lando_FRP_11112022_1013.tsv","FW86.tsv"
"Lausbursch_PRF_12112022_0957.tsv","JX49.tsv"
"Leia_PRF_02112022_0927.tsv","JM91.tsv"
"Lindy Hop_PRF_12112022_0858.tsv","CC78.tsv"
"Longshanks_FRP_14112022_0938.tsv","WV75.tsv"
"Lotta_PRF_17112022_1039.tsv","SQ17.tsv"
"Lukka_FRP_03112022_1002.tsv","DR62.tsv"
"Lupin_PRF_07112022_0950.tsv","SH12.tsv"
"Oberlix_PRF_08112022_0912.tsv","MH75.tsv"
"Romy_PRF_13112022_0938.tsv","KK12.tsv"
"Rosenrot_PRF_13112022_1006.tsv","GD31.tsv"
"Taras_FRP_11112022_0843.tsv","MI76.tsv"
"Triton_FRP_13112022_1024.tsv","XL65.tsv"
