Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Anthony_FRF_21112022_0930,Silence_2,Look,Reaction,Away from speaker,1
Anthony_FRF_21112022_0930,Silence_3,FVO,Reaction,Distance,5
Anthony_FRF_25102022_0953,Dishabituation,FVO,Reaction,Distance,12
Anthony_FRF_25102022_0953,Dishabituation,FVO,Reaction,Other,15
Anthony_FRF_25102022_0953,Dishabituation,Htlt,Reaction,None,7
Anthony_FRF_25102022_0953,Dishabituation,Look,Reaction,At speaker,34
Anthony_FRF_25102022_0953,Dishabituation,Look,Reaction,Away from speaker,43
Anthony_FRF_25102022_0953,Habituation,FVO,Reaction,Distance,6
Anthony_FRF_25102022_0953,Habituation,FVO,Reaction,Other,21
Anthony_FRF_25102022_0953,Habituation,Htlt,Reaction,None,2
Anthony_FRF_25102022_0953,Habituation,Look,Reaction,At speaker,22
Anthony_FRF_25102022_0953,Silence_1,FVO,Reaction,Other,2
Anthony_FRF_25102022_0953,Silence_1,Look,Reaction,At speaker,4
Anthony_FRF_25102022_0953,Silence_2,Agn,Interaction,Towards other,1
Anthony_FRF_25102022_0953,Silence_2,FVO,Reaction,Distance,1
Anthony_FRF_25102022_0953,Silence_2,FVO,Reaction,Other,1
Anthony_FRF_25102022_0953,Silence_2,Htlt,Reaction,None,1
Anthony_FRF_25102022_0953,Silence_2,Look,Reaction,At speaker,7
Anthony_FRF_25102022_0953,Silence_2,Look,Reaction,Away from speaker,5
Anthony_FRF_25102022_0953,Silence_3,Look,Reaction,At speaker,2
Anthony_FRF_25102022_0953,Silence_3,Look,Reaction,Away from speaker,1
Anthony_FRP_06112022_0945,Dishabituation,Agn,Interaction,Towards other,2
Anthony_FRP_06112022_0945,Dishabituation,Htlt,Reaction,None,2
Anthony_FRP_06112022_0945,Dishabituation,Look,Reaction,At speaker,6
Anthony_FRP_06112022_0945,Dishabituation,Look,Reaction,Away from speaker,14
Anthony_FRP_06112022_0945,Dishabituation,Voc,Reaction,Other,1
Anthony_FRP_06112022_0945,Habituation,HSH,Reaction,None,1
Anthony_FRP_06112022_0945,Habituation,Look,Reaction,At speaker,1
Anthony_FRP_06112022_0945,Habituation,Look,Reaction,Away from speaker,1
Anthony_FRP_06112022_0945,Silence_1,HSH,Reaction,None,1
Anthony_FRP_06112022_0945,Silence_1,Look,Reaction,At speaker,3
Anthony_FRP_06112022_0945,Silence_1,Look,Reaction,Away from speaker,1
Anthony_FRP_06112022_0945,Silence_1,Voc,Reaction,Other,1
Anthony_FRP_06112022_0945,Silence_2,NA,NA,NA,0
Anthony_FRP_06112022_0945,Silence_3,NA,NA,NA,0
Anthony_PRF_27102022_1108,Dishabituation,Agn,Interaction,Towards other,1
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Departure,34
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Distance,2
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Other,2
Anthony_PRF_27102022_1108,Dishabituation,FVO,Reaction,Recruitment,8
Anthony_PRF_27102022_1108,Dishabituation,Fllw,Interaction,Kin,1
Anthony_PRF_27102022_1108,Dishabituation,HSH,Reaction,None,2
Anthony_PRF_27102022_1108,Dishabituation,Look,Reaction,At speaker,1
Anthony_PRF_27102022_1108,Dishabituation,Look,Reaction,Away from speaker,21
Anthony_PRF_27102022_1108,Dishabituation,Voc,Reaction,Contact,1
Anthony_PRF_27102022_1108,Dishabituation,Voc,Reaction,Recruitment,5
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Departure,18
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Distance,11
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Other,5
Anthony_PRF_27102022_1108,Habituation,FVO,Reaction,Recruitment,32
Anthony_PRF_27102022_1108,Habituation,Look,Reaction,At speaker,7
Anthony_PRF_27102022_1108,Habituation,Look,Reaction,Away from speaker,4
Anthony_PRF_27102022_1108,Habituation,Voc,Reaction,Recruitment,17
Anthony_PRF_27102022_1108,Silence_1,FVO,Reaction,Distance,3
Anthony_PRF_27102022_1108,Silence_1,FVO,Reaction,Other,2
Anthony_PRF_27102022_1108,Silence_1,Look,Reaction,Away from speaker,2
Anthony_PRF_27102022_1108,Silence_2,FVO,Reaction,Departure,8
Anthony_PRF_27102022_1108,Silence_2,FVO,Reaction,Distance,4
