Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Recruitment	POINT	215.68	H:/Individual recognition vids/Blind videos/RU53.MP4	5392	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	216.84	H:/Individual recognition vids/Blind videos/RU53.MP4	5421	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	STOP	217.399	H:/Individual recognition vids/Blind videos/RU53.MP4	NA	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	START	217.4	H:/Individual recognition vids/Blind videos/RU53.MP4	5435	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Departure	POINT	219.32	H:/Individual recognition vids/Blind videos/RU53.MP4	5483	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	219.92	H:/Individual recognition vids/Blind videos/RU53.MP4	5498	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Departure	POINT	221.12	H:/Individual recognition vids/Blind videos/RU53.MP4	5528	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		FVO	Reaction	Departure	POINT	222.56	H:/Individual recognition vids/Blind videos/RU53.MP4	5564	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Mid neck	STOP	225.959	H:/Individual recognition vids/Blind videos/RU53.MP4	NA	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Pre	Time budget	With kin	START	225.96	H:/Individual recognition vids/Blind videos/RU53.MP4	5649	NA
RU53	08/06/2024 22:49		739.68	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RU53.MP4	739.68	25	Triton	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	230.52	H:/Individual recognition vids/Blind videos/RU53.MP4	5763	NA
